k;alpha;nPayments;End Epoch;DeployGas;StartConfirmGas;MaxConfirmGas;MinConfirmGas;PayGas
40;4;26;Yes;3177850;2105088;65056;50056;911863
40;4;27;No;3177850;1207716;65056;50056;538121
40;4;27;Yes;3177850;2147143;65056;50056;923793
40;4;28;No;3177850;1249794;65056;50056;550051
40;4;28;Yes;3177850;2189222;65056;50056;935723
40;4;29;No;3177850;1291849;65056;50056;561981
40;4;29;Yes;3177850;2231276;65056;50056;947653
40;4;30;No;3177850;1333927;65056;50056;573911
40;4;30;Yes;3177850;2273355;65056;50056;959583
40;4;31;No;3177850;1375994;65056;50056;585841
40;4;31;Yes;3177850;2315422;65056;50056;971513
40;4;32;No;3177850;1418060;65056;50056;597771
40;4;32;Yes;3177850;2357489;65056;50056;983443
40;4;33;No;3177850;1460115;65056;50056;609701
40;4;33;Yes;3177850;2399544;65056;50056;995373
40;4;34;No;3177850;1502194;65056;50056;621631
40;4;34;Yes;3177850;2441623;65056;50056;1007303
40;4;35;No;3177850;1544248;65056;50056;633561
40;4;35;Yes;3177850;2483678;65056;50056;1019233
40;4;36;No;3177850;1586315;65056;50056;645491
40;4;36;Yes;3177850;2525745;65056;50056;1031163
40;4;37;No;3177850;1628370;65056;50056;657421
40;4;37;Yes;3177850;2567800;65056;50056;1043093
40;4;38;No;3177850;1670448;65056;50056;669351
40;4;38;Yes;3177850;2609879;65056;50056;1055023
40;4;39;No;3177850;1712515;65056;50056;681281
40;4;39;Yes;3177850;2651946;65056;50056;1066953
40;4;40;No;3177850;1754582;65056;50056;693211
40;4;40;Yes;3177850;2694013;65056;50056;1078883
40;4;41;No;3177850;1796636;65056;50056;705141
40;4;41;Yes;3177850;2736068;65056;50056;1090813
40;4;42;No;3177850;1838715;65056;50056;717071
40;4;42;Yes;3177850;2778147;65056;50056;1102743
40;4;43;No;3177850;1880770;65056;50056;729001
40;4;43;Yes;3177850;2820202;65056;50056;1114673
40;4;44;No;3177850;1922849;65056;50056;740931
40;4;44;Yes;3177850;2862281;65056;50056;1126603
40;8;1;No;3355770;113992;65056;50056;245261
40;8;1;Yes;3355770;1135315;65056;50056;665337
40;8;2;No;3355770;156070;65056;50056;257191
